No errors
Max results hit (1000): not all possible results returned; 
96 ms
data source=metars
1000 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
K4S1 141755Z AUTO 04008KT 5SM BR CLR 04/03 A3014 RMK AO2 P0003,K4S1,2023-02-14T17:55:00Z,42.42,-124.42,4.0,3.0,40,8,,5.0,30.138779,,,TRUE,TRUE,,,,,,BR,CLR,,,,,,,,MVFR,,,,,,0.03,,,,,,METAR,7.0
K4S1 141735Z AUTO 04005KT 7SM SCT018 SCT023 SCT030 03/02 A3013 RMK AO2 P0003,K4S1,2023-02-14T17:35:00Z,42.42,-124.42,3.0,2.0,40,5,,7.0,30.129921,,,TRUE,TRUE,,,,,,,SCT,1800,SCT,2300,SCT,3000,,,VFR,,,,,,0.03,,,,,,METAR,7.0
K4S1 141715Z AUTO 03010KT 7SM RA SCT030 SCT037 SCT044 03/02 A3012 RMK AO2 P0002,K4S1,2023-02-14T17:15:00Z,42.42,-124.42,3.0,2.0,30,10,,7.0,30.121063,,,TRUE,TRUE,,,,,,RA,SCT,3000,SCT,3700,SCT,4400,,,VFR,,,,,,0.02,,,,,,METAR,7.0
K4S1 141655Z AUTO 05003KT 5SM BR SCT025 SCT032 SCT044 03/02 A3012 RMK AO2 P0001,K4S1,2023-02-14T16:55:00Z,42.42,-124.42,3.0,2.0,50,3,,5.0,30.121063,,,TRUE,TRUE,,,,,,BR,SCT,2500,SCT,3200,SCT,4400,,,MVFR,,,,,,0.01,,,,,,METAR,7.0
K4S1 141635Z AUTO 03007KT 5SM DZ SCT028 03/02 A3011 RMK AO2,K4S1,2023-02-14T16:35:00Z,42.42,-124.42,3.0,2.0,30,7,,5.0,30.109253,,,TRUE,TRUE,,,,,,DZ,SCT,2800,,,,,,,MVFR,,,,,,,,,,,,METAR,7.0
K4S1 141615Z AUTO 05006KT 5SM BR SCT020 SCT029 03/02 A3010 RMK AO2,K4S1,2023-02-14T16:15:00Z,42.42,-124.42,3.0,2.0,50,6,,5.0,30.100393,,,TRUE,TRUE,,,,,,BR,SCT,2000,SCT,2900,,,,,MVFR,,,,,,,,,,,,METAR,7.0
K4S1 141555Z AUTO 05009G15KT 10SM -DZ SCT029 03/02 A3011 RMK AO2,K4S1,2023-02-14T15:55:00Z,42.42,-124.42,3.0,2.0,50,9,15,10.0,30.109253,,,TRUE,TRUE,,,,,,-DZ,SCT,2900,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
K4S1 141535Z AUTO 05012G17KT 7SM CLR 03/02 A3010 RMK AO2,K4S1,2023-02-14T15:35:00Z,42.42,-124.42,3.0,2.0,50,12,17,7.0,30.100393,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,7.0
K4S1 141515Z AUTO 03010G19KT 340V040 10SM RA SCT012 SCT022 SCT028 04/02 A3009 RMK AO2,K4S1,2023-02-14T15:15:00Z,42.42,-124.42,4.0,2.0,30,10,19,10.0,30.088583,,,TRUE,TRUE,,,,,,RA,SCT,1200,SCT,2200,SCT,2800,,,VFR,,,,,,,,,,,,METAR,7.0
K4S1 141455Z AUTO 35022G30KT 5SM BR SCT022 SCT028 04/02 A3009 RMK AO2,K4S1,2023-02-14T14:55:00Z,42.42,-124.42,4.0,2.0,350,22,30,5.0,30.088583,,,TRUE,TRUE,,,,,,BR,SCT,2200,SCT,2800,,,,,MVFR,,,,,,,,,,,,METAR,7.0
K4S1 141435Z AUTO 04006KT 7SM -RA SCT025 SCT030 03/02 A3008 RMK AO2,K4S1,2023-02-14T14:35:00Z,42.42,-124.42,3.0,2.0,40,6,,7.0,30.079725,,,TRUE,TRUE,,,,,,-RA,SCT,2500,SCT,3000,,,,,VFR,,,,,,,,,,,,METAR,7.0
