No errors
No warnings
24 ms
data source=metars
552 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KAST 311555Z AUTO 19009KT 5SM -RA BR FEW025 BKN037 OVC070 07/05 A2994 RMK AO2 RAB10 SLP140 P0003 T00720050,KAST,2023-03-31T15:55:00Z,46.15,-123.88,7.2,5.0,190,9,,5.0,29.940945,1014.0,,TRUE,TRUE,,,,,,-RA BR,FEW,2500,BKN,3700,OVC,7000,,,MVFR,,,,,,0.03,,,,,,METAR,3.0
KAST 311547Z AUTO 18011G19KT 4SM -RA BR FEW013 BKN024 OVC041 07/05 A2995 RMK AO2 RAB10 P0002 T00670050,KAST,2023-03-31T15:47:00Z,46.15,-123.88,6.7,5.0,180,11,19,4.0,29.949802,,,TRUE,TRUE,,,,,,-RA BR,FEW,1300,BKN,2400,OVC,4100,,,MVFR,,,,,,0.02,,,,,,SPECI,3.0
KAST 311536Z AUTO 17006KT 9SM -RA FEW013 BKN036 OVC046 07/05 A2995 RMK AO2 RAB10 P0002 T00670050,KAST,2023-03-31T15:36:00Z,46.15,-123.88,6.7,5.0,170,6,,9.0,29.949802,,,TRUE,TRUE,,,,,,-RA,FEW,1300,BKN,3600,OVC,4600,,,VFR,,,,,,0.02,,,,,,SPECI,3.0
KAST 311455Z AUTO 17007KT 10SM SCT018 BKN023 OVC060 06/04 A2994 RMK AO2 RAB02E40 SLP140 P0005 60009 T00610044 53003,KAST,2023-03-31T14:55:00Z,46.15,-123.88,6.1,4.4,170,7,,10.0,29.940945,1014.0,,TRUE,TRUE,,,,,,,SCT,1800,BKN,2300,OVC,6000,,,MVFR,0.3,,,,,0.05,0.09,,,,,METAR,3.0
KAST 311412Z AUTO 19009G14KT 3SM -RA BR SCT014 BKN024 OVC050 06/04 A2994 RMK AO2 RAB02 P0005 T00610044,KAST,2023-03-31T14:12:00Z,46.15,-123.88,6.1,4.4,190,9,14,3.0,29.940945,,,TRUE,TRUE,,,,,,-RA BR,SCT,1400,BKN,2400,OVC,5000,,,MVFR,,,,,,0.05,,,,,,SPECI,3.0
KAST 311355Z AUTO 17005KT 10SM FEW025 BKN037 OVC047 06/04 A2994 RMK AO2 RAE00B27E54 SLP137 P0002 T00610044,KAST,2023-03-31T13:55:00Z,46.15,-123.88,6.1,4.4,170,5,,10.0,29.940945,1013.7,,TRUE,TRUE,,,,,,,FEW,2500,BKN,3700,OVC,4700,,,VFR,,,,,,0.02,,,,,,METAR,3.0
KAST 311302Z AUTO 15006KT 10SM FEW020 BKN032 OVC065 06/04 A2994 RMK AO2 RAE00 P0000 T00610044,KAST,2023-03-31T13:02:00Z,46.15,-123.88,6.1,4.4,150,6,,10.0,29.940945,,,TRUE,TRUE,,,,,,,FEW,2000,BKN,3200,OVC,6500,,,VFR,,,,,,0.005,,,,,,SPECI,3.0
KAST 311255Z AUTO 15006KT 8SM -RA SCT018 BKN026 OVC036 06/04 A2994 RMK AO2 RAB32 CIG 021 RWY 08 SLP137 P0002 T00610044,KAST,2023-03-31T12:55:00Z,46.15,-123.88,6.1,4.4,150,6,,8.0,29.940945,1013.7,,TRUE,TRUE,,,,,,-RA,SCT,1800,BKN,2600,OVC,3600,,,MVFR,,,,,,0.02,,,,,,SPECI,3.0
KAST 311214Z AUTO 15006KT 10SM SCT020 BKN026 OVC060 06/04 A2994 RMK AO2 CIG 020 RWY 08 T00610039,KAST,2023-03-31T12:14:00Z,46.15,-123.88,6.1,3.9,150,6,,10.0,29.940945,,,TRUE,TRUE,,,,,,,SCT,2000,BKN,2600,OVC,6000,,,MVFR,,,,,,,,,,,,METAR,3.0
KAST 311155Z AUTO 15004KT 10SM FEW019 SCT025 OVC055 06/04 A2994 RMK AO2 RAE29 SLP137 P0002 60006 70008 T00610044 10072 20061 55005,KAST,2023-03-31T11:55:00Z,46.15,-123.88,6.1,4.4,150,4,,10.0,29.940945,1013.7,,TRUE,TRUE,,,,,,,FEW,1900,SCT,2500,OVC,5500,,,VFR,-0.5,7.2,6.1,,,0.02,,0.06,0.08,,,METAR,3.0
KAST 311055Z AUTO 18005KT 10SM -RA FEW025 BKN036 BKN060 07/04 A2994 RMK AO2 RAB0957E06B49 SLP136 P0000 T00670039,KAST,2023-03-31T10:55:00Z,46.15,-123.88,6.7,3.9,180,5,,10.0,29.940945,1013.6,,TRUE,TRUE,,,,,,-RA,FEW,2500,BKN,3600,BKN,6000,,,VFR,,,,,,0.005,,,,,,METAR,3.0
KAST 311009Z AUTO VRB06KT 10SM FEW021 BKN035 OVC044 07/04 A2995 RMK AO2 RAB0957E06 P0000 T00670039,KAST,2023-03-31T10:09:00Z,46.15,-123.88,6.7,3.9,0,6,,10.0,29.949802,,,TRUE,TRUE,,,,,,,FEW,2100,BKN,3500,OVC,4400,,,VFR,,,,,,0.005,,,,,,SPECI,3.0
