No errors
No warnings
128 ms
data source=metars
513 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KEUG 141754Z 25003KT 10SM FEW003 SCT049 BKN065 02/01 A3009 RMK AO2 SLP192 60002 T00220011 10022 20006 53026,KEUG,2023-02-14T17:54:00Z,44.13,-123.22,2.2,1.1,250,3,,10.0,30.088583,1019.2,,,TRUE,,,,,,,FEW,300,SCT,4900,BKN,6500,,,VFR,2.6,2.2,0.6,,,,,0.02,,,,METAR,109.0
KEUG 141654Z 13003KT 10SM BKN040 BKN060 OVC070 01/00 A3006 RMK AO2 SNB06E48 SLP181 P0000 T00110000,KEUG,2023-02-14T16:54:00Z,44.13,-123.22,1.1,0.0,130,3,,10.0,30.059055,1018.1,,,TRUE,,,,,,,BKN,4000,BKN,6000,OVC,7000,,,VFR,,,,,,0.005,,,,,,METAR,109.0
KEUG 141648Z 08003KT 9SM BKN035 BKN060 OVC070 01/00 A3005 RMK AO2 SNB06E48 P0000,KEUG,2023-02-14T16:48:00Z,44.13,-123.22,1.0,0.0,80,3,,9.0,30.050198,,,,TRUE,,,,,,,BKN,3500,BKN,6000,OVC,7000,,,VFR,,,,,,0.005,,,,,,SPECI,109.0
KEUG 141621Z 23005KT 10SM -SN BKN032 BKN060 OVC070 01/00 A3004 RMK AO2 SNB06 P0000 T00110000,KEUG,2023-02-14T16:21:00Z,44.13,-123.22,1.1,0.0,230,5,,10.0,30.041338,,,,TRUE,,,,,,-SN,BKN,3200,BKN,6000,OVC,7000,,,VFR,,,,,,0.005,,,,,,METAR,109.0
KEUG 141554Z 22005KT 10SM BKN042 BKN065 BKN110 01/00 A3003 RMK AO2 UPB10E11SNB12E38 SLP172 P0000 T00110000,KEUG,2023-02-14T15:54:00Z,44.13,-123.22,1.1,0.0,220,5,,10.0,30.029528,1017.2,,,TRUE,,,,,,,BKN,4200,BKN,6500,BKN,11000,,,VFR,,,,,,0.005,,,,,,METAR,109.0
KEUG 141538Z 21005KT 9SM SCT038 BKN070 BKN110 01/00 A3002 RMK AO2 UPB10E11SNB12E38 P0000 T00110000,KEUG,2023-02-14T15:38:00Z,44.13,-123.22,1.1,0.0,210,5,,9.0,30.02067,,,,TRUE,,,,,,,SCT,3800,BKN,7000,BKN,11000,,,VFR,,,,,,0.005,,,,,,SPECI,109.0
KEUG 141512Z 22005KT 10SM -SN BKN034 OVC070 01/00 A3002 RMK AO2 UPB10E11SNB12 P0000 T00110000,KEUG,2023-02-14T15:12:00Z,44.13,-123.22,1.1,0.0,220,5,,10.0,30.02067,,,,TRUE,,,,,,-SN,BKN,3400,OVC,7000,,,,,VFR,,,,,,0.005,,,,,,SPECI,109.0
KEUG 141454Z 14004KT 10SM BKN038 BKN049 BKN055 01/M01 A3001 RMK AO2 SLP165 60002 T00061006 53007,KEUG,2023-02-14T14:54:00Z,44.13,-123.22,0.6,-0.6,140,4,,10.0,30.008858,1016.5,,,TRUE,,,,,,,BKN,3800,BKN,4900,BKN,5500,,,VFR,0.7,,,,,,0.02,,,,,METAR,109.0
KEUG 141354Z 18005KT 10SM FEW011 SCT020 01/00 A3000 RMK AO2 UPB04E06B33E37SNE04B19E33 SLP163 P0001 T00110000,KEUG,2023-02-14T13:54:00Z,44.13,-123.22,1.1,0.0,180,5,,10.0,30.0,1016.3,,,TRUE,,,,,,,FEW,1100,SCT,2000,,,,,VFR,,,,,,0.01,,,,,,METAR,109.0
KEUG 141254Z AUTO 21006KT 9SM -SN OVC022 01/00 A2999 RMK AO2 RAB32E39UPB39E52SNE32B52 SLP157 P0001 T00110000,KEUG,2023-02-14T12:54:00Z,44.13,-123.22,1.1,0.0,210,6,,9.0,29.991142,1015.7,,TRUE,TRUE,,,,,,-SN,OVC,2200,,,,,,,MVFR,,,,,,0.01,,,,,,METAR,109.0
KEUG 141203Z AUTO 20006KT 8SM -SN FEW008 OVC017 01/00 A2999 RMK AO2 P0000 T00060000,KEUG,2023-02-14T12:03:00Z,44.13,-123.22,0.6,0.0,200,6,,8.0,29.991142,,,TRUE,TRUE,,,,,,-SN,FEW,800,OVC,1700,,,,,MVFR,,,,,,0.005,,,,,,SPECI,109.0
KEUG 141154Z AUTO 18005KT 3SM -SN BR OVC015 01/00 A2999 RMK AO2 SLP157 P0014 60026 70035 I6000 T00060000 10028 20006 56034,KEUG,2023-02-14T11:54:00Z,44.13,-123.22,0.6,0.0,180,5,,3.0,29.991142,1015.7,,TRUE,TRUE,,,,,,-SN BR,OVC,1500,,,,,,,MVFR,-3.4,2.8,0.6,,,0.14,,0.26,0.35,,,METAR,109.0
KEUG 141149Z AUTO 18006KT 2SM -SN BR OVC011 01/00 A2999 RMK AO2 P0013,KEUG,2023-02-14T11:49:00Z,44.13,-123.22,1.0,0.0,180,6,,2.0,29.991142,,,TRUE,TRUE,,,,,,-SN BR,OVC,1100,,,,,,,IFR,,,,,,0.13,,,,,,SPECI,109.0
KEUG 141145Z AUTO 18006KT 1 3/4SM -SN BR OVC009 01/00 A2999 RMK AO2 P0013 T00060000,KEUG,2023-02-14T11:45:00Z,44.13,-123.22,0.6,0.0,180,6,,1.75,29.991142,,,TRUE,TRUE,,,,,,-SN BR,OVC,900,,,,,,,IFR,,,,,,0.13,,,,,,SPECI,109.0
KEUG 141122Z AUTO 17007KT 1 1/4SM R16R/5500VP6000FT -SN BR OVC009 01/00 A2999 RMK AO2 P0008 T00060000,KEUG,2023-02-14T11:22:00Z,44.13,-123.22,0.6,0.0,170,7,,1.25,29.991142,,,TRUE,TRUE,,,,,,-SN BR,OVC,900,,,,,,,IFR,,,,,,0.08,,,,,,SPECI,109.0
