No errors
No warnings
522 ms
data source=metars
538 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KOTH 141756Z 33022G29KT 8SM -RA BKN023 OVC033 06/02 A3012 RMK AO2 PK WND 34029/1755 RAB00E19B56 SLP198 P0000 60008 T00610022 10061 20039 51017,KOTH,2023-02-14T17:56:00Z,43.42,-124.25,6.1,2.2,330,22,29,8.0,30.121063,1019.8,,,TRUE,,,,,,-RA,BKN,2300,OVC,3300,,,,,MVFR,1.7,6.1,3.9,,,0.005,,,,,,SPECI,3.0
KOTH 141732Z 34021G27KT 10SM BKN026 BKN033 BKN049 06/02 A3011 RMK AO2 PK WND 33027/1732 RAB00E19 P0000,KOTH,2023-02-14T17:32:00Z,43.42,-124.25,6.0,2.0,340,21,27,10.0,30.109253,,,,TRUE,,,,,,,BKN,2600,BKN,3300,BKN,4900,,,MVFR,,,,,,0.005,,,,,,SPECI,3.0
KOTH 141656Z 32018G23KT 10SM FEW018 SCT035 BKN050 05/02 A3011 RMK AO2 RAE07 SLP194 P0000 T00500022,KOTH,2023-02-14T16:56:00Z,43.42,-124.25,5.0,2.2,320,18,23,10.0,30.109253,1019.4,,,TRUE,,,,,,,FEW,1800,SCT,3500,BKN,5000,,,VFR,,,,,,0.005,,,,,,METAR,3.0
KOTH 141556Z 35020G25KT 10SM -RA FEW027 BKN048 OVC060 05/00 A3009 RMK AO2 PK WND 34028/1542 RAB17 SLP188 P0000 T00500000,KOTH,2023-02-14T15:56:00Z,43.42,-124.25,5.0,0.0,350,20,25,10.0,30.088583,1018.8,,,TRUE,,,,,,-RA,FEW,2700,BKN,4800,OVC,6000,,,VFR,,,,,,0.005,,,,,,METAR,3.0
KOTH 141456Z AUTO 34014KT 10SM BKN038 BKN046 OVC055 06/01 A3007 RMK AO2 SLP180 60008 T00560011 50006,KOTH,2023-02-14T14:56:00Z,43.42,-124.25,5.6,1.1,340,14,,10.0,30.070866,1018.0,,TRUE,TRUE,,,,,,,BKN,3800,BKN,4600,OVC,5500,,,VFR,0.6,,,,,,0.08,,,,,METAR,3.0
KOTH 141403Z AUTO 35012G19KT 10SM FEW021 BKN030 OVC085 05/02 A3007 RMK AO2,KOTH,2023-02-14T14:03:00Z,43.42,-124.25,5.0,2.0,350,12,19,10.0,30.070866,,,TRUE,TRUE,,,,,,,FEW,2100,BKN,3000,OVC,8500,,,MVFR,,,,,,,,,,,,METAR,3.0
KOTH 141356Z AUTO 34011KT 10SM SCT021 BKN029 OVC090 05/02 A3007 RMK AO2 RAB04E53 SLP182 P0000 T00500022,KOTH,2023-02-14T13:56:00Z,43.42,-124.25,5.0,2.2,340,11,,10.0,30.070866,1018.2,,TRUE,TRUE,,,,,,,SCT,2100,BKN,2900,OVC,9000,,,MVFR,,,,,,0.005,,,,,,METAR,3.0
KOTH 141334Z AUTO 33020G25KT 9SM -RA SCT022 BKN029 OVC075 05/03 A3006 RMK AO2 RAB04 P0000,KOTH,2023-02-14T13:34:00Z,43.42,-124.25,5.0,3.0,330,20,25,9.0,30.059055,,,TRUE,TRUE,,,,,,-RA,SCT,2200,BKN,2900,OVC,7500,,,MVFR,,,,,,0.005,,,,,,SPECI,3.0
KOTH 141317Z AUTO 33011KT 10SM -RA SCT026 BKN041 OVC075 04/03 A3006 RMK AO2 RAB04 P0000,KOTH,2023-02-14T13:17:00Z,43.42,-124.25,4.0,3.0,330,11,,10.0,30.059055,,,TRUE,TRUE,,,,,,-RA,SCT,2600,BKN,4100,OVC,7500,,,VFR,,,,,,0.005,,,,,,SPECI,3.0
KOTH 141256Z AUTO 32007KT 10SM BKN017 BKN029 OVC042 04/03 A3005 RMK AO2 PK WND 31032/1212 RAB06E50 CIG 011V023 SLP176 P0008 T00390028,KOTH,2023-02-14T12:56:00Z,43.42,-124.25,3.9,2.8,320,7,,10.0,30.050198,1017.6,,TRUE,TRUE,,,,,,,BKN,1700,BKN,2900,OVC,4200,,,MVFR,,,,,,0.08,,,,,,METAR,3.0
