No errors
No warnings
24 ms
data source=metars
425 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KPDX 141753Z 30004KT 10SM BKN007 BKN012 03/01 A3011 RMK AO2 SLP197 60000 T00280006 10028 20017 53040,KPDX,2023-02-14T17:53:00Z,45.6,-122.62,2.8,0.6,300,4,,10.0,30.109253,1019.7,,,TRUE,,,,,,,BKN,700,BKN,1200,,,,,IFR,4.0,2.8,1.7,,,,,0.005,,,,METAR,7.0
KPDX 141745Z 30004KT 10SM BKN007 BKN012 02/01 A3011 RMK AO2 T00220006,KPDX,2023-02-14T17:45:00Z,45.6,-122.62,2.2,0.6,300,4,,10.0,30.109253,,,,TRUE,,,,,,,BKN,700,BKN,1200,,,,,IFR,,,,,,,,,,,,METAR,7.0
KPDX 141653Z 29004KT 10SM SCT007 BKN012 BKN030 02/00 A3008 RMK AO2 SLP184 T00220000,KPDX,2023-02-14T16:53:00Z,45.6,-122.62,2.2,0.0,290,4,,10.0,30.079725,1018.4,,,TRUE,,,,,,,SCT,700,BKN,1200,BKN,3000,,,MVFR,,,,,,,,,,,,METAR,7.0
KPDX 141553Z 25005KT 10SM FEW010 BKN021 BKN031 02/00 A3003 RMK AO2 SLP167 T00220000,KPDX,2023-02-14T15:53:00Z,45.6,-122.62,2.2,0.0,250,5,,10.0,30.029528,1016.7,,,TRUE,,,,,,,FEW,1000,BKN,2100,BKN,3100,,,MVFR,,,,,,,,,,,,METAR,7.0
KPDX 141453Z 00000KT 10SM BKN025 02/01 A2999 RMK AO2 SLP156 60000 T00220006 53017,KPDX,2023-02-14T14:53:00Z,45.6,-122.62,2.2,0.6,0,0,,10.0,29.991142,1015.6,,,TRUE,,,,,,,BKN,2500,,,,,,,MVFR,1.7,,,,,,0.005,,,,,METAR,7.0
KPDX 141353Z 22004KT 10SM FEW011 SCT035 BKN095 02/00 A2997 RMK AO2 SLP148 T00220000,KPDX,2023-02-14T13:53:00Z,45.6,-122.62,2.2,0.0,220,4,,10.0,29.970472,1014.8,,,TRUE,,,,,,,FEW,1100,SCT,3500,BKN,9500,,,VFR,,,,,,,,,,,,SPECI,7.0
KPDX 141336Z 22004KT 10SM SCT011 SCT027 OVC095 02/00 A2996 RMK AO2 T00220000,KPDX,2023-02-14T13:36:00Z,45.6,-122.62,2.2,0.0,220,4,,10.0,29.958662,,,,TRUE,,,,,,,SCT,1100,SCT,2700,OVC,9500,,,VFR,,,,,,,,,,,,SPECI,7.0
KPDX 141300Z 22004KT 10SM BKN011 OVC021 02/00 A2995 RMK AO2 T00220000,KPDX,2023-02-14T13:00:00Z,45.6,-122.62,2.2,0.0,220,4,,10.0,29.949802,,,,TRUE,,,,,,,BKN,1100,OVC,2100,,,,,MVFR,,,,,,,,,,,,METAR,7.0
KPDX 141253Z 22007KT 10SM BKN009 OVC021 02/00 A2995 RMK AO2 RAE11SNE11 SLP141 P0000 T00220000,KPDX,2023-02-14T12:53:00Z,45.6,-122.62,2.2,0.0,220,7,,10.0,29.949802,1014.1,,,TRUE,,,,,,,BKN,900,OVC,2100,,,,,IFR,,,,,,0.005,,,,,,METAR,7.0
KPDX 141153Z 19006KT 10SM -SNRA BKN009 OVC014 02/01 A2994 RMK AO2 RAB24 SLP139 P0002 60004 70014 T00220006 10028 20017 56018,KPDX,2023-02-14T11:53:00Z,45.6,-122.62,2.2,0.6,190,6,,10.0,29.940945,1013.9,,,TRUE,,,,,,-SN -RA,BKN,900,OVC,1400,,,,,IFR,-1.8,2.8,1.7,,,0.02,,0.04,0.14,,,METAR,7.0
KPDX 141053Z VRB05KT 10SM -SN BKN009 OVC027 03/01 A2995 RMK AO2 RAE50 SLP142 P0000 T00280006,KPDX,2023-02-14T10:53:00Z,45.6,-122.62,2.8,0.6,0,5,,10.0,29.949802,1014.2,,,TRUE,,,,,,-SN,BKN,900,OVC,2700,,,,,IFR,,,,,,0.005,,,,,,METAR,7.0
KPDX 141033Z 13005KT 10SM -RASN BKN010 BKN027 OVC033 03/00 A2997 RMK AO2 P0000 T00280000,KPDX,2023-02-14T10:33:00Z,45.6,-122.62,2.8,0.0,130,5,,10.0,29.970472,,,,TRUE,,,,,,-RA -SN,BKN,1000,BKN,2700,OVC,3300,,,MVFR,,,,,,0.005,,,,,,SPECI,7.0
KPDX 140953Z 18005KT 10SM -RASN FEW014 BKN030 OVC042 02/01 A2998 RMK AO2 RAB32SNB32 SLP152 P0002 T00220006,KPDX,2023-02-14T09:53:00Z,45.6,-122.62,2.2,0.6,180,5,,10.0,29.97933,1015.2,,,TRUE,,,,,,-RA -SN,FEW,1400,BKN,3000,OVC,4200,,,MVFR,,,,,,0.02,,,,,,METAR,7.0
KPDX 140933Z 19008KT 9SM -RASN FEW009 FEW013 OVC028 02/00 A2999 RMK AO2 RAB32SNB32 P0000 T00220000,KPDX,2023-02-14T09:33:00Z,45.6,-122.62,2.2,0.0,190,8,,9.0,29.991142,,,,TRUE,,,,,,-RA -SN,FEW,900,FEW,1300,OVC,2800,,,MVFR,,,,,,0.005,,,,,,SPECI,7.0
KPDX 140853Z 18007KT 10SM FEW015 OVC043 02/00 A3000 RMK AO2 SLP157 60000 T00220000 58015,KPDX,2023-02-14T08:53:00Z,45.6,-122.62,2.2,0.0,180,7,,10.0,30.0,1015.7,,,TRUE,,,,,,,FEW,1500,OVC,4300,,,,,VFR,-1.5,,,,,,0.005,,,,,METAR,7.0
KPDX 140753Z 20008KT 10SM FEW015 BKN040 OVC070 02/00 A3002 RMK AO2 RAE49 SLP166 P0000 T00220000 400890017,KPDX,2023-02-14T07:53:00Z,45.6,-122.62,2.2,0.0,200,8,,10.0,30.02067,1016.6,,,TRUE,,,,,,,FEW,1500,BKN,4000,OVC,7000,,,VFR,,,,8.9,1.7,0.005,,,,,,METAR,7.0
KPDX 140653Z 20007KT 9SM -RA SCT022 BKN034 OVC043 02/00 A3004 RMK AO2 RAB19SNE19 SLP171 P0000 T00170000,KPDX,2023-02-14T06:53:00Z,45.6,-122.62,1.7,0.0,200,7,,9.0,30.041338,1017.1,,,TRUE,,,,,,-RA,SCT,2200,BKN,3400,OVC,4300,,,VFR,,,,,,0.005,,,,,,METAR,7.0
KPDX 140553Z 23003KT 9SM -SN FEW023 BKN033 OVC043 02/00 A3004 RMK AO2 SLP173 P0001 60003 T00220000 10067 20017 51017,KPDX,2023-02-14T05:53:00Z,45.6,-122.62,2.2,0.0,230,3,,9.0,30.041338,1017.3,,,TRUE,,,,,,-SN,FEW,2300,BKN,3300,OVC,4300,,,VFR,1.7,6.7,1.7,,,0.01,,0.03,,,,METAR,7.0
KPDX 140522Z 28006KT 9SM -SN SCT028 BKN037 OVC095 02/00 A3003 RMK AO2 P0001 T00220000,KPDX,2023-02-14T05:22:00Z,45.6,-122.62,2.2,0.0,280,6,,9.0,30.029528,,,,TRUE,,,,,,-SN,SCT,2800,BKN,3700,OVC,9500,,,VFR,,,,,,0.01,,,,,,SPECI,7.0
KPDX 140453Z 28010KT 4SM -SN FEW009 BKN017 OVC026 02/M01 A3004 RMK AO2 RAB32E49SNB49 SLP171 P0002 T00221006,KPDX,2023-02-14T04:53:00Z,45.6,-122.62,2.2,-0.6,280,10,,4.0,30.041338,1017.1,,,TRUE,,,,,,-SN,FEW,900,BKN,1700,OVC,2600,,,MVFR,,,,,,0.02,,,,,,METAR,7.0
KPDX 140442Z 29011G23KT 8SM -RA FEW012 BKN023 OVC040 03/M01 A3004 RMK AO2 RAB32 P0000 T00331011,KPDX,2023-02-14T04:42:00Z,45.6,-122.62,3.3,-1.1,290,11,23,8.0,30.041338,,,,TRUE,,,,,,-RA,FEW,1200,BKN,2300,OVC,4000,,,MVFR,,,,,,0.005,,,,,,METAR,7.0
KPDX 140353Z 29013G22KT 10SM SCT050 BKN075 BKN090 03/M01 A3002 RMK AO2 SLP165 T00331011,KPDX,2023-02-14T03:53:00Z,45.6,-122.62,3.3,-1.1,290,13,22,10.0,30.02067,1016.5,,,TRUE,,,,,,,SCT,5000,BKN,7500,BKN,9000,,,VFR,,,,,,,,,,,,METAR,7.0
KPDX 140253Z 22006KT 10SM FEW045 FEW120 BKN140 OVC160 04/M01 A2999 RMK AO2 SLP154 60000 T00441006 53013,KPDX,2023-02-14T02:53:00Z,45.6,-122.62,4.4,-0.6,220,6,,10.0,29.991142,1015.4,,,TRUE,,,,,,,FEW,4500,FEW,12000,BKN,14000,OVC,16000,VFR,1.3,,,,,,0.005,,,,,METAR,7.0
KPDX 140153Z 28013KT 10SM SCT030 BKN040 BKN070 OVC140 05/M01 A2998 RMK AO2 PK WND 29034/0138 RAB37E50 SLP149 P0000 T00501006,KPDX,2023-02-14T01:53:00Z,45.6,-122.62,5.0,-0.6,280,13,,10.0,29.97933,1014.9,,,TRUE,,,,,,,SCT,3000,BKN,4000,BKN,7000,OVC,14000,VFR,,,,,,0.005,,,,,,METAR,7.0
KPDX 140053Z 30010KT 10SM SCT028 BKN037 BKN110 06/02 A2996 RMK AO2 PK WND 30026/2354 RAE07B23E48 SLP143 P0000 T00610017,KPDX,2023-02-14T00:53:00Z,45.6,-122.62,6.1,1.7,300,10,,10.0,29.958662,1014.3,,,TRUE,,,,,,,SCT,2800,BKN,3700,BKN,11000,,,VFR,,,,,,0.005,,,,,,METAR,7.0
KPDX 132353Z 30018KT 10SM -RA BKN030 BKN042 OVC070 07/02 A2995 RMK AO2 RAE28B46 SLP141 P0002 60003 T00670017 10089 20067 55003,KPDX,2023-02-13T23:53:00Z,45.6,-122.62,6.7,1.7,300,18,,10.0,29.949802,1014.1,,,TRUE,,,,,,-RA,BKN,3000,BKN,4200,OVC,7000,,,MVFR,-0.3,8.9,6.7,,,0.02,,0.03,,,,METAR,7.0
KPDX 132320Z 25014KT 10SM -RA FEW024 BKN030 OVC035 07/03 A2993 RMK AO2 P0001 T00670028,KPDX,2023-02-13T23:20:00Z,45.6,-122.62,6.7,2.8,250,14,,10.0,29.929134,,,,TRUE,,,,,,-RA,FEW,2400,BKN,3000,OVC,3500,,,MVFR,,,,,,0.01,,,,,,SPECI,7.0
KPDX 132311Z 26015G22KT 5SM -RA BKN025 OVC035 07/02 A2993 RMK AO2 P0001 T00670022,KPDX,2023-02-13T23:11:00Z,45.6,-122.62,6.7,2.2,260,15,22,5.0,29.929134,,,,TRUE,,,,,,-RA,BKN,2500,OVC,3500,,,,,MVFR,,,,,,0.01,,,,,,SPECI,7.0
KPDX 132253Z 27013KT 10SM -RA BKN031 OVC045 08/02 A2992 RMK AO2 RAB36 SLP130 P0000 T00830017,KPDX,2023-02-13T22:53:00Z,45.6,-122.62,8.3,1.7,270,13,,10.0,29.920275,1013.0,,,TRUE,,,,,,-RA,BKN,3100,OVC,4500,,,,,VFR,,,,,,0.005,,,,,,METAR,7.0
KPDX 132153Z 30010KT 10SM FEW031 SCT060 SCT100 BKN140 08/02 A2994 RMK AO2 RAB2055E07 SLP137 P0000 T00830017,KPDX,2023-02-13T21:53:00Z,45.6,-122.62,8.3,1.7,300,10,,10.0,29.940945,1013.7,,,TRUE,,,,,,,FEW,3100,SCT,6000,SCT,10000,BKN,14000,VFR,,,,,,0.005,,,,,,METAR,7.0
KPDX 132053Z 28010KT 10SM SCT025 SCT055 BKN120 08/02 A2996 RMK AO2 RAE04 SLP145 P0000 60001 T00830017 58008,KPDX,2023-02-13T20:53:00Z,45.6,-122.62,8.3,1.7,280,10,,10.0,29.958662,1014.5,,,TRUE,,,,,,,SCT,2500,SCT,5500,BKN,12000,,,VFR,-0.8,,,,,0.005,0.01,,,,,METAR,7.0
KPDX 132017Z 27012KT 10SM SCT023 SCT030 BKN055 08/03 A2997 RMK AO2 RAE04 P0000 T00780028,KPDX,2023-02-13T20:17:00Z,45.6,-122.62,7.8,2.8,270,12,,10.0,29.970472,,,,TRUE,,,,,,,SCT,2300,SCT,3000,BKN,5500,,,VFR,,,,,,0.005,,,,,,SPECI,7.0
KPDX 132000Z 26014KT 10SM -RA BKN023 BKN030 OVC055 07/03 A2998 RMK AO2 P0000 T00720028,KPDX,2023-02-13T20:00:00Z,45.6,-122.62,7.2,2.8,260,14,,10.0,29.97933,,,,TRUE,,,,,,-RA,BKN,2300,BKN,3000,OVC,5500,,,MVFR,,,,,,0.005,,,,,,SPECI,7.0
KPDX 131953Z 24014KT 10SM -RA SCT024 BKN032 OVC043 07/03 A2998 RMK AO2 RAB09 SLP151 P0001 T00720028,KPDX,2023-02-13T19:53:00Z,45.6,-122.62,7.2,2.8,240,14,,10.0,29.97933,1015.1,,,TRUE,,,,,,-RA,SCT,2400,BKN,3200,OVC,4300,,,VFR,,,,,,0.01,,,,,,METAR,7.0
KPDX 131948Z 24011KT 10SM -RA SCT024 BKN032 OVC043 08/03 A2998 RMK AO2 RAB09 P0000,KPDX,2023-02-13T19:48:00Z,45.6,-122.62,8.0,3.0,240,11,,10.0,29.97933,,,,TRUE,,,,,,-RA,SCT,2400,BKN,3200,OVC,4300,,,VFR,,,,,,0.005,,,,,,SPECI,7.0
KPDX 131920Z 27009KT 10SM -RA SCT021 BKN026 BKN032 08/03 A2998 RMK AO2 RAB09 P0000 T00780028,KPDX,2023-02-13T19:20:00Z,45.6,-122.62,7.8,2.8,270,9,,10.0,29.97933,,,,TRUE,,,,,,-RA,SCT,2100,BKN,2600,BKN,3200,,,MVFR,,,,,,0.005,,,,,,SPECI,7.0
