No errors
No warnings
23 ms
data source=metars
518 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KSLE 021656Z 16009KT 10SM -RA OVC022 04/01 A3006 RMK AO2 RAE04B20 SLP180 P0000 T00390011,KSLE,2023-03-02T16:56:00Z,44.9,-123.0,3.9,1.1,160,9,,10.0,30.059055,1018.0,,,TRUE,,,,,,-RA,OVC,2200,,,,,,,MVFR,,,,,,0.005,,,,,,METAR,63.0
KSLE 021556Z 15013KT 10SM -RA OVC024 03/01 A3007 RMK AO2 SLP183 P0001 T00330006,KSLE,2023-03-02T15:56:00Z,44.9,-123.0,3.3,0.6,150,13,,10.0,30.070866,1018.3,,,TRUE,,,,,,-RA,OVC,2400,,,,,,,MVFR,,,,,,0.01,,,,,,METAR,63.0
KSLE 021503Z 16010KT 10SM -RA OVC028 04/01 A3007 RMK AO2 P0000 T00390006,KSLE,2023-03-02T15:03:00Z,44.9,-123.0,3.9,0.6,160,10,,10.0,30.070866,,,,TRUE,,,,,,-RA,OVC,2800,,,,,,,MVFR,,,,,,0.005,,,,,,SPECI,63.0
KSLE 021456Z 15012KT 10SM -RA OVC030 04/01 A3007 RMK AO2 RAE04B55 SLP182 P0000 60000 T00390006 55014,KSLE,2023-03-02T14:56:00Z,44.9,-123.0,3.9,0.6,150,12,,10.0,30.070866,1018.2,,,TRUE,,,,,,-RA,OVC,3000,,,,,,,MVFR,-1.4,,,,,0.005,0.005,,,,,METAR,63.0
KSLE 021454Z 16011KT 10SM BKN028 OVC034 04/01 A3007 RMK AO2 RAE04 P0000,KSLE,2023-03-02T14:54:00Z,44.9,-123.0,4.0,1.0,160,11,,10.0,30.070866,,,,TRUE,,,,,,,BKN,2800,OVC,3400,,,,,MVFR,,,,,,0.005,,,,,,SPECI,63.0
KSLE 021356Z AUTO 18013KT 9SM -RA FEW042 BKN050 OVC080 04/01 A3010 RMK AO2 RAB05E17B49 SLP192 P0000 T00390006,KSLE,2023-03-02T13:56:00Z,44.9,-123.0,3.9,0.6,180,13,,9.0,30.100393,1019.2,,TRUE,TRUE,,,,,,-RA,FEW,4200,BKN,5000,OVC,8000,,,VFR,,,,,,0.005,,,,,,METAR,63.0
KSLE 021256Z AUTO 18010KT 10SM OVC046 04/00 A3011 RMK AO2 SLP196 T00440000,KSLE,2023-03-02T12:56:00Z,44.9,-123.0,4.4,0.0,180,10,,10.0,30.109253,1019.6,,TRUE,TRUE,,,,,,,OVC,4600,,,,,,,VFR,,,,,,,,,,,,SPECI,63.0
KSLE 021156Z AUTO 18013KT 10SM OVC055 04/00 A3013 RMK AO2 SLP203 T00440000 10050 20044 58012,KSLE,2023-03-02T11:56:00Z,44.9,-123.0,4.4,0.0,180,13,,10.0,30.129921,1020.3,,TRUE,TRUE,,,,,,,OVC,5500,,,,,,,VFR,-1.2,5.0,4.4,,,,,,,,,METAR,63.0
KSLE 021056Z AUTO 18011KT 10SM OVC060 04/00 A3014 RMK AO2 SLP208 T00440000,KSLE,2023-03-02T10:56:00Z,44.9,-123.0,4.4,0.0,180,11,,10.0,30.138779,1020.8,,TRUE,TRUE,,,,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,63.0
KSLE 020956Z AUTO 18011KT 10SM OVC060 04/00 A3016 RMK AO2 SLP214 T00440000,KSLE,2023-03-02T09:56:00Z,44.9,-123.0,4.4,0.0,180,11,,10.0,30.159449,1021.4,,TRUE,TRUE,,,,,,,OVC,6000,,,,,,,VFR,,,,,,,,,,,,METAR,63.0
