No errors
No warnings
19 ms
data source=metars
424 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KTKI 311553Z 19018G24KT 10SM SCT018 BKN060 BKN070 23/20 A2981 RMK AO2 PK WND 20029/1533 SLP093 T02330200,KTKI,2023-03-31T15:53:00Z,33.18,-96.58,23.3,20.0,190,18,24,10.0,29.811024,1009.3,,,TRUE,,,,,,,SCT,1800,BKN,6000,BKN,7000,,,VFR,,,,,,,,,,,,METAR,173.0
KTKI 311453Z 19015G21KT 10SM OVC070 21/20 A2981 RMK AO2 RAE18 SLP092 P0001 60001 T02110200 50015,KTKI,2023-03-31T14:53:00Z,33.18,-96.58,21.1,20.0,190,15,21,10.0,29.811024,1009.2,,,TRUE,,,,,,,OVC,7000,,,,,,,VFR,1.5,,,,,0.01,0.01,,,,,METAR,173.0
KTKI 311441Z 19012KT 10SM OVC070 21/20 A2981 RMK AO2 RAE18 P0001 T02110200,KTKI,2023-03-31T14:41:00Z,33.18,-96.58,21.1,20.0,190,12,,10.0,29.811024,,,,TRUE,,,,,,,OVC,7000,,,,,,,VFR,,,,,,0.01,,,,,,SPECI,173.0
KTKI 311353Z 22015G27KT 4SM -RA BR BKN023 OVC030 21/19 A2982 RMK AO2 PK WND 21029/1335 RAB31 SLP098 P0000 T02110189,KTKI,2023-03-31T13:53:00Z,33.18,-96.58,21.1,18.9,220,15,27,4.0,29.819881,1009.8,,,TRUE,,,,,,-RA BR,BKN,2300,OVC,3000,,,,,MVFR,,,,,,0.005,,,,,,METAR,173.0
KTKI 311253Z 21013G28KT 10SM OVC026 23/18 A2980 RMK AO2 PK WND 22028/1244 SLP088 T02280183,KTKI,2023-03-31T12:53:00Z,33.18,-96.58,22.8,18.3,210,13,28,10.0,29.799213,1008.8,,,TRUE,,,,,,,OVC,2600,,,,,,,MVFR,,,,,,,,,,,,METAR,173.0
KTKI 311229Z 21014G23KT 10SM BKN027 OVC032 22/18 A2977 RMK AO2 PK WND 19028/1218 T02220183,KTKI,2023-03-31T12:29:00Z,33.18,-96.58,22.2,18.3,210,14,23,10.0,29.769686,,,,TRUE,,,,,,,BKN,2700,OVC,3200,,,,,MVFR,,,,,,,,,,,,METAR,173.0
KTKI 311153Z 19017G26KT 10SM SCT028 22/18 A2976 RMK AO2 PK WND 18032/1054 LTG DSNT SE SLP076 70013 T02220183 10222 20211 53010,KTKI,2023-03-31T11:53:00Z,33.18,-96.58,22.2,18.3,190,17,26,10.0,29.760826,1007.6,,,TRUE,,,,,,,SCT,2800,,,,,,,VFR,1.0,22.2,21.1,,,,,,0.13,,,SPECI,173.0
KTKI 311053Z 19023G31KT 10SM CLR 22/18 A2972 RMK AO2 PK WND 18037/1020 SLP061 T02220183,KTKI,2023-03-31T10:53:00Z,33.18,-96.58,22.2,18.3,190,23,31,10.0,29.719488,1006.1,,,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,173.0
KTKI 310953Z AUTO 18020G34KT 10SM SCT025 22/18 A2973 RMK AO2 PK WND 18035/0900 SLP066 T02170183,KTKI,2023-03-31T09:53:00Z,33.18,-96.58,21.7,18.3,180,20,34,10.0,29.731298,1006.6,,TRUE,TRUE,,,,,,,SCT,2500,,,,,,,VFR,,,,,,,,,,,,METAR,173.0
KTKI 310949Z AUTO 18024G34KT 10SM SCT025 22/18 A2973 RMK AO2 PK WND 18035/0900,KTKI,2023-03-31T09:49:00Z,33.18,-96.58,22.0,18.0,180,24,34,10.0,29.731298,,,TRUE,TRUE,,,,,,,SCT,2500,,,,,,,VFR,,,,,,,,,,,,METAR,173.0
