No errors
Max results hit (1000): not all possible results returned; 
72 ms
data source=metars
1000 results
raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KTMK 141750Z AUTO 04003KT 7SM CLR 02/01 A3013 RMK AO2,KTMK,2023-02-14T17:50:00Z,45.42,-123.82,2.0,1.0,40,3,,7.0,30.129921,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,8.0
KTMK 141730Z AUTO 00000KT 10SM SCT003 SCT033 02/01 A3012 RMK AO2,KTMK,2023-02-14T17:30:00Z,45.42,-123.82,2.0,1.0,0,0,,10.0,30.121063,,,TRUE,TRUE,,,,,,,SCT,300,SCT,3300,,,,,VFR,,,,,,,,,,,,METAR,8.0
KTMK 141710Z AUTO 00000KT 10SM SCT002 SCT032 01/01 A3011 RMK AO2,KTMK,2023-02-14T17:10:00Z,45.42,-123.82,1.0,1.0,0,0,,10.0,30.109253,,,TRUE,TRUE,,,,,,,SCT,200,SCT,3200,,,,,VFR,,,,,,,,,,,,SPECI,8.0
KTMK 141655Z AUTO 00000KT 4SM BR BKN002 BKN032 01/00 A3010 RMK AO2,KTMK,2023-02-14T16:55:00Z,45.42,-123.82,1.0,0.0,0,0,,4.0,30.100393,,,TRUE,TRUE,,,,,,BR,BKN,200,BKN,3200,,,,,LIFR,,,,,,,,,,,,METAR,8.0
KTMK 141630Z AUTO 00000KT 2SM BR SCT004 00/00 A3008 RMK AO2 VIS 1 1/4V3,KTMK,2023-02-14T16:30:00Z,45.42,-123.82,0.0,0.0,0,0,,2.0,30.079725,,,TRUE,TRUE,,,,,,BR,SCT,400,,,,,,,IFR,,,,,,,,,,,,SPECI,8.0
KTMK 141610Z AUTO 00000KT 3SM BR BKN002 00/M01 A3007 RMK AO2,KTMK,2023-02-14T16:10:00Z,45.42,-123.82,0.0,-1.0,0,0,,3.0,30.070866,,,TRUE,TRUE,,,,,,BR,BKN,200,,,,,,,LIFR,,,,,,,,,,,,SPECI,8.0
KTMK 141550Z AUTO 00000KT 1/2SM FG OVC002 00/00 A3005 RMK AO2,KTMK,2023-02-14T15:50:00Z,45.42,-123.82,0.0,0.0,0,0,,0.5,30.050198,,,TRUE,TRUE,,,,,,FG,OVC,200,,,,,,,LIFR,,,,,,,,,,,,METAR,8.0
KTMK 141530Z AUTO 00000KT 10SM CLR 00/00 A3004 RMK AO2,KTMK,2023-02-14T15:30:00Z,45.42,-123.82,0.0,0.0,0,0,,10.0,30.041338,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,8.0
KTMK 141510Z AUTO 00000KT 10SM SCT026 SCT039 00/00 A3003 RMK AO2,KTMK,2023-02-14T15:10:00Z,45.42,-123.82,0.0,0.0,0,0,,10.0,30.029528,,,TRUE,TRUE,,,,,,,SCT,2600,SCT,3900,,,,,VFR,,,,,,,,,,,,METAR,8.0
KTMK 141450Z AUTO 00000KT 10SM SCT026 SCT041 SCT050 00/00 A3001 RMK AO2,KTMK,2023-02-14T14:50:00Z,45.42,-123.82,0.0,0.0,0,0,,10.0,30.008858,,,TRUE,TRUE,,,,,,,SCT,2600,SCT,4100,SCT,5000,,,VFR,,,,,,,,,,,,METAR,8.0
KTMK 141430Z AUTO 11003KT 10SM SCT046 SCT060 01/00 A3000 RMK AO2,KTMK,2023-02-14T14:30:00Z,45.42,-123.82,1.0,0.0,110,3,,10.0,30.0,,,TRUE,TRUE,,,,,,,SCT,4600,SCT,6000,,,,,VFR,,,,,,,,,,,,METAR,8.0
KTMK 141410Z AUTO 12003KT 10SM SCT070 SCT075 SCT100 01/00 A2999 RMK AO2,KTMK,2023-02-14T14:10:00Z,45.42,-123.82,1.0,0.0,120,3,,10.0,29.991142,,,TRUE,TRUE,,,,,,,SCT,7000,SCT,7500,SCT,10000,,,VFR,,,,,,,,,,,,METAR,8.0
