"LOAD_ID","STATION_ID","OBSERVATION_TIME","TEMP_C","DEWPOINT_C","ALTIM_IN_HG","WIND_SPEED_KT","WIND_GUST_KT","PRECIP_IN","PRECIP_IN_24HR_SUM","PRECIP_IN_12HR_SUM","PRECIP_IN_6HR_SUM","PRECIP_IN_3HR_SUM","PRECIP_IN_1HR_SUM","ALTIM_IN_HG_24HR_AVG","ALTIM_IN_HG_12HR_AVG","ALTIM_IN_HG_6HR_AVG","ALTIM_IN_HG_3HR_AVG","ALTIM_IN_HG_1HR_AVG","LABEL"
"KOTH-20230214","KOTH",13-FEB-23 05.49.00.000000000 PM,8,4,30.159449,4,0,0.005,0.195,0.195,0.04,0.03,0.025,30.1753,30.165,30.1519,30.155,30.1594,1
"KOTH-20230214","KOTH",13-FEB-23 05.56.00.000000000 PM,7.8,4.4,30.159449,4,0,0.005,0.2,0.2,0.045,0.035,0.03,30.1749,30.164,30.1526,30.1559,30.1594,1
"KOTH-20230214","KOTH",13-FEB-23 06.12.00.000000000 PM,8,5,30.159449,11,0,0.04,0.24,0.24,0.075,0.07,0.05,30.1732,30.163,30.1526,30.1577,30.1594,1
"KOTH-20230214","KOTH",13-FEB-23 06.46.00.000000000 PM,9,4,30.159449,16,22,0.05,0.29,0.29,0.125,0.12,0.1,30.1729,30.1629,30.1538,30.158,30.1594,1
"KOTH-20230214","KOTH",13-FEB-23 06.56.00.000000000 PM,9.4,3.9,30.159449,17,23,0.05,0.34,0.34,0.175,0.17,0.145,30.1726,30.1628,30.1543,30.1582,30.1594,1
"KOTH-20230214","KOTH",13-FEB-23 07.56.00.000000000 PM,8.3,4.4,30.159449,12,0,0.005,0.345,0.34,0.18,0.175,0.055,30.171,30.1613,30.1556,30.1594,30.1594,1
"KOTH-20230214","KOTH",13-FEB-23 08.14.00.000000000 PM,9,4,30.15059,16,22,0.005,0.35,0.335,0.185,0.16,0.01,30.1693,30.1599,30.1568,30.1582,30.155,1
"KOTH-20230214","KOTH",13-FEB-23 08.56.00.000000000 PM,8.9,3.3,30.15059,14,23,0.005,0.355,0.325,0.19,0.16,0.015,30.1689,30.1584,30.1562,30.1569,30.1535,1
"KOTH-20230214","KOTH",13-FEB-23 09.06.00.000000000 PM,9,3,30.138779,15,0,0,0.355,0.32,0.185,0.155,0.01,30.167,30.1572,30.1552,30.154,30.1467,1
"KOTH-20230214","KOTH",03-FEB-23 01.56.00.000000000 AM,6.7,3.9,29.97933,7,0,0,0,0,0,0,0,30.1238,30.1013,30.0599,30.0221,29.9941,0
"KOTH-20230214","KOTH",03-FEB-23 02.56.00.000000000 AM,6.7,2.2,29.97933,0,0,0,0,0,0,0,0,30.1178,30.089,30.0384,30.0022,29.9793,0
"KOTH-20230214","KOTH",03-FEB-23 03.56.00.000000000 AM,4.4,3.3,29.958662,6,0,0,0,0,0,0,0,30.1106,30.0752,30.0152,29.9815,29.969,0
"KOTH-20230214","KOTH",03-FEB-23 04.56.00.000000000 AM,4.4,3.3,29.940945,6,0,0,0,0,0,0,0,30.1026,30.0584,29.9954,29.9646,29.9498,0
"KOTH-20230214","KOTH",03-FEB-23 05.56.00.000000000 AM,3.9,2.8,29.949802,5,0,0,0,0,0,0,0,30.0946,30.0422,29.9798,29.9572,29.9454,0
"KOTH-20230214","KOTH",03-FEB-23 06.56.00.000000000 AM,3.3,2.8,29.949802,5,0,0,0,0,0,0,0,30.0862,30.0268,29.9667,29.9498,29.9498,0
"KOTH-20230214","KOTH",03-FEB-23 07.56.00.000000000 AM,3.9,2.2,29.929134,9,0,0,0,0,0,0,0,30.0765,30.0098,29.9553,29.9424,29.9395,0
"KOTH-20230214","KOTH",03-FEB-23 08.56.00.000000000 AM,4.4,2.2,29.920275,8,0,0,0,0,0,0,0,30.067,29.9936,29.9469,29.9373,29.9247,1
"KOTH-20230214","KOTH",03-FEB-23 09.56.00.000000000 AM,4.4,1.7,29.920275,8,0,0,0,0,0,0,0,30.0578,29.9782,29.9384,29.9299,29.9203,1
"KOTH-20230214","KOTH",03-FEB-23 10.56.00.000000000 AM,10,4.4,29.920275,12,21,0,0,0,0,0,0,30.0485,29.9659,29.9329,29.9225,29.9203,1
"KOTH-20230214","KOTH",03-FEB-23 11.56.00.000000000 AM,10,3.3,29.929134,12,19,0,0,0,0,0,0,30.0397,29.9559,29.9312,29.9225,29.9247,1
"KOTH-20230214","KOTH",03-FEB-23 12.56.00.000000000 PM,9.4,2.8,29.920275,15,21,0,0,0,0,0,0,30.0309,29.9466,29.927,29.9225,29.9247,1
"KOTH-20230214","KOTH",03-FEB-23 01.56.00.000000000 PM,9.4,3.3,29.911417,12,0,0,0,0,0,0,0,30.0219,29.9391,29.9215,29.9203,29.9158,1
"KOTH-20230214","KOTH",03-FEB-23 02.56.00.000000000 PM,10.6,3.3,29.911417,16,23,0.005,0.005,0.005,0.005,0.005,0.005,30.0128,29.9339,29.919,29.9181,29.9114,1
"KOTH-20230214","KOTH",03-FEB-23 03.56.00.000000000 PM,9.4,5.6,29.940945,18,0,0.005,0.01,0.01,0.01,0.01,0.01,30.0048,29.931,29.922,29.921,29.9262,1
"KOTH-20230214","KOTH",03-FEB-23 04.56.00.000000000 PM,8.3,7.2,29.97933,12,0,0.04,0.05,0.05,0.05,0.05,0.045,29.9976,29.9325,29.9304,29.9358,29.9601,1
"KOTH-20230214","KOTH",03-FEB-23 05.14.00.000000000 PM,9,7,30.008858,9,0,0.01,0.06,0.06,0.06,0.06,0.05,29.9916,29.9378,29.9431,29.9601,29.9941,1
"KOTH-20230214","KOTH",03-FEB-23 05.56.00.000000000 PM,10,8.3,30.02067,15,26,0.01,0.07,0.07,0.07,0.07,0.06,29.9927,29.9437,29.9528,29.9722,30.003,1
"KOTH-20230214","KOTH",03-FEB-23 06.56.00.000000000 PM,11.1,8.3,30.050198,15,26,0.005,0.075,0.075,0.075,0.07,0.015,29.9889,29.9509,29.9679,30,30.0354,1
"KOTH-20230214","KOTH",03-FEB-23 07.09.00.000000000 PM,12,8,30.050198,14,22,0,0.075,0.075,0.075,0.065,0.005,29.985,29.958,29.9841,30.0219,30.0502,1
"KOTH-20230214","KOTH",03-FEB-23 07.18.00.000000000 PM,13,8,30.059055,18,25,0,0.075,0.075,0.075,0.065,0.005,29.9878,29.9648,29.9925,30.0281,30.0532,1
"KOTH-20230214","KOTH",03-FEB-23 07.56.00.000000000 PM,12.2,8.3,30.070866,15,29,0.005,0.08,0.08,0.08,0.07,0.01,29.9907,29.9714,30.0003,30.0342,30.0576,1
"KOTH-20230214","KOTH",03-FEB-23 08.56.00.000000000 PM,13.3,7.2,30.070866,23,31,0,0.08,0.08,0.08,0.02,0.005,29.9886,29.9803,30.0162,30.0536,30.0709,1
"KOTH-20230214","KOTH",03-FEB-23 09.23.00.000000000 PM,13,7,30.088583,17,28,0,0.08,0.08,0.075,0.01,0,29.9875,29.9908,30.034,30.065,30.0797,1
"KOTH-20230214","KOTH",03-FEB-23 09.31.00.000000000 PM,13,8,30.079725,22,29,0,0.08,0.08,0.075,0.01,0,29.9906,29.996,30.0381,30.0671,30.0797,1
"KOTH-20230214","KOTH",03-FEB-23 09.56.00.000000000 PM,12.8,8.3,30.088583,16,29,0,0.08,0.08,0.075,0.01,0,29.9939,30.0011,30.0423,30.0698,30.0819,1
"KEUG-20230214","KEUG",08-FEB-23 11.49.00.000000000 AM,1,1,30.499016,4,0,0,0.205,0.075,0.005,0,0,30.4232,30.464,30.4859,30.4913,30.4927,0
"KEUG-20230214","KEUG",08-FEB-23 11.54.00.000000000 AM,1.1,0.6,30.499016,5,0,0,0.205,0.075,0.005,0,0,30.4248,30.4651,30.4864,30.4917,30.4935,0
